responses,contexts,contexts_neg,prompts,logprobs,lambdas,window_length
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-351.77838134765625,-3.0,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-346.75323486328125,-2.9,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-344.36883544921875,1.900000000000004,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-341.9635009765625,-2.8,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-340.604736328125,1.8000000000000043,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-337.697021484375,1.7000000000000046,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-337.45220947265625,-2.6999999999999997,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-334.1100769042969,1.600000000000004,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-333.2479248046875,-2.5999999999999996,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-330.55474853515625,1.5000000000000036,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-329.29278564453125,-2.4999999999999996,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-327.8116760253906,-3.0,5
